CustomerID,total_orders,total_spent,avg_order_value,customer_type
12347,1,711.79,711.79,"One Time"
12348,1,892.8,892.8,"One Time"
12370,2,1868.02,934.01,Occasional
12377,1,1001.52,1001.52,"One Time"
12386,1,258.9,258.9,"One Time"
12395,2,679.92,339.96,Occasional
12417,1,291.34,291.34,"One Time"
12427,1,303.5,303.5,"One Time"
12429,1,1281.5,1281.5,"One Time"
12431,2,773.95,386.98,Occasional
12433,2,3787.12,1893.56,Occasional
12441,1,173.55,173.55,"One Time"
12471,4,3874.36,968.59,Occasional
12472,1,1631.3,1631.3,"One Time"
12476,1,12.45,12.45,"One Time"
12481,1,159.38,159.38,"One Time"
12494,2,62.55,31.28,Occasional
12540,1,881.01,881.01,"One Time"
12551,1,168,168,"One Time"
12557,1,620,620,"One Time"
12567,2,1942.38,971.19,Occasional
12577,1,195.89,195.89,"One Time"
12583,1,855.86,855.86,"One Time"
12600,2,274.8,137.4,Occasional
12621,2,1383.65,691.82,Occasional
12647,4,1193.6,298.4,Occasional
12662,1,261.48,261.48,"One Time"
12668,1,469.87,469.87,"One Time"
12681,1,1033.52,1033.52,"One Time"
12682,2,1075.29,537.65,Occasional
12683,2,1063.08,531.54,Occasional
12686,1,89.14,89.14,"One Time"
12691,1,180,180,"One Time"
12705,1,858,858,"One Time"
12708,1,196.44,196.44,"One Time"
12709,2,1315.69,657.84,Occasional
12712,2,470.63,235.32,Occasional
12720,2,657.13,328.56,Occasional
12725,1,427.8,427.8,"One Time"
12726,1,170.28,170.28,"One Time"
12731,1,1071.9,1071.9,"One Time"
12738,1,155.35,155.35,"One Time"
12747,2,706.27,353.14,Occasional
12748,31,4119.24,132.88,Frequent
12753,1,3590.59,3590.59,"One Time"
12755,1,3794.4,3794.4,"One Time"
12763,1,320.08,320.08,"One Time"
12766,1,1149.29,1149.29,"One Time"
12779,1,248.16,248.16,"One Time"
12782,1,463.5,463.5,"One Time"
12785,1,311.95,311.95,"One Time"
12791,1,192.6,192.6,"One Time"
12793,1,131.8,131.8,"One Time"
12797,1,254.03,254.03,"One Time"
12808,1,129.4,129.4,"One Time"
12826,1,155,155,"One Time"
12829,1,85.75,85.75,"One Time"
12838,1,390.79,390.79,"One Time"
12839,2,737.45,368.72,Occasional
12841,2,505.99,253,Occasional
12855,1,38.1,38.1,"One Time"
12867,1,362.79,362.79,"One Time"
12868,1,203.3,203.3,"One Time"
12872,1,378.53,378.53,"One Time"
12875,1,293.76,293.76,"One Time"
